City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Albany,US,2022-04-20 22:48:10,42.6001,-73.9662,49.17,49,9,1.01
68,Laguna,US,2022-04-20 22:51:33,38.421,-121.4238,74.32,38,75,12.66
69,Cap-Aux-Meules,CA,2022-04-20 22:51:43,47.3821,-61.8597,42.85,65,75,17.27
70,Fortuna,US,2022-04-20 22:51:44,40.5982,-124.1573,58.12,82,75,9.22
71,Tiksi,RU,2022-04-20 22:51:44,71.6872,128.8694,10.69,96,100,4.81
72,Saint Anthony,US,2022-04-20 22:51:43,45.0205,-93.218,45.66,93,100,6.91
73,Zhicheng,CN,2022-04-20 22:51:55,30.2956,111.5047,60.71,83,0,2.46
74,Poronaysk,RU,2022-04-20 22:51:55,49.2167,143.1167,55.67,56,85,11.97
75,Puerto Ayora,EC,2022-04-20 22:51:56,-0.7393,-90.3518,76.96,87,100,7.58
76,Jamestown,US,2022-04-20 22:49:37,42.097,-79.2353,51.53,30,0,3.44
77,Sinnamary,GF,2022-04-20 22:52:04,5.3833,-52.95,77.0,90,100,10.49
78,Keetmanshoop,NA,2022-04-20 22:52:04,-26.5833,18.1333,68.7,32,9,14.38
79,Pangoa,PE,2022-04-20 22:52:05,-12.1167,-73.0,73.87,78,76,1.72
80,Tuatapere,NZ,2022-04-20 22:52:05,-46.1333,167.6833,57.31,93,100,10.67
81,Raudeberg,NO,2022-04-20 22:52:06,61.9875,5.1352,43.47,85,29,5.86
82,San Quintin,MX,2022-04-20 22:52:06,30.4833,-115.95,64.76,65,0,23.87
83,Lazarev,RU,2022-04-20 22:52:06,52.225,141.5131,31.55,98,100,7.43
84,Rantauprapat,ID,2022-04-20 22:52:07,2.1,99.8333,72.48,98,98,1.88
85,Hermanus,ZA,2022-04-20 22:52:07,-34.4187,19.2345,62.51,87,100,2.28
86,Enkhuizen,NL,2022-04-20 22:52:08,52.7,5.2833,52.0,79,16,4.0
87,Cockburn Town,TC,2022-04-20 22:52:08,21.4612,-71.1419,76.96,73,75,9.22
88,Alice Springs,AU,2022-04-20 22:52:09,-23.7,133.8833,58.55,44,30,6.91
89,Henties Bay,NA,2022-04-20 22:52:09,-22.116,14.2845,70.11,58,57,3.36
90,Nyimba,ZM,2022-04-20 22:52:10,-14.5566,30.8149,66.31,82,100,4.79
91,Mudu,CN,2022-04-20 22:52:10,31.252,120.5118,59.04,91,76,10.18
92,Yellowknife,CA,2022-04-20 22:52:10,62.456,-114.3525,32.56,40,20,10.36
93,Vardo,NO,2022-04-20 22:52:11,70.3705,31.1107,39.11,90,86,2.04
94,Esperance,AU,2022-04-20 22:52:11,-33.8667,121.9,57.04,73,83,7.38
95,Butaritari,KI,2022-04-20 22:52:12,3.0707,172.7902,81.18,81,84,14.07
96,Lagoa,PT,2022-04-20 22:53:12,39.05,-27.9833,58.86,71,51,10.04
97,Lompoc,US,2022-04-20 22:53:13,34.6391,-120.4579,72.01,58,0,17.27
98,Tarma,PE,2022-04-20 22:53:13,-11.4197,-75.6908,53.44,85,42,6.67
99,Cidreira,BR,2022-04-20 22:53:11,-30.1811,-50.2056,67.23,77,0,8.75
100,Bereda,ES,2022-04-20 22:53:14,43.2686,-7.5406,34.14,100,11,0.4
101,Sydney,AU,2022-04-20 22:53:02,-33.8679,151.2073,65.37,69,20,13.0
102,Alta Floresta,BR,2022-04-20 22:51:43,-9.8756,-56.0861,73.11,94,65,2.37
103,Peniche,PT,2022-04-20 22:48:50,39.3558,-9.3811,55.29,77,2,21.12
104,Nanortalik,GL,2022-04-20 22:52:03,60.1432,-45.2371,29.91,70,93,4.07
105,Isangel,VU,2022-04-20 22:52:47,-19.55,169.2667,82.6,69,56,7.49
106,Lorengau,PG,2022-04-20 22:53:16,-2.0226,147.2712,84.69,67,61,12.12
107,Zhuanghe,CN,2022-04-20 22:53:16,39.7008,122.9911,50.74,85,40,10.65
108,East London,ZA,2022-04-20 22:53:17,-33.0153,27.9116,69.22,68,3,8.25
109,Cherskiy,RU,2022-04-20 22:53:17,68.75,161.3,25.29,79,60,4.92
110,Avarua,CK,2022-04-20 22:53:17,-21.2078,-159.775,78.85,57,20,16.11
111,Busselton,AU,2022-04-20 22:50:59,-33.65,115.3333,54.1,90,1,10.96
112,Vallenar,CL,2022-04-20 22:51:29,-28.5708,-70.7581,64.69,50,53,2.55
113,Golakganj,IN,2022-04-20 22:53:18,26.1,89.8333,72.14,80,13,3.18
114,Nkhotakota,MW,2022-04-20 22:53:19,-12.9274,34.2961,70.72,89,97,8.1
115,Upernavik,GL,2022-04-20 22:53:19,72.7868,-56.1549,-5.73,77,38,6.08
116,Sun City West,US,2022-04-20 22:53:20,33.662,-112.3413,91.53,16,0,11.5
117,Chernyshevskiy,RU,2022-04-20 22:53:20,63.0128,112.4714,14.5,89,100,3.53
118,Sao Joao Da Barra,BR,2022-04-20 22:49:59,-21.6403,-41.0511,70.97,87,0,8.88
119,Leningradskiy,RU,2022-04-20 22:53:21,69.3833,178.4167,20.95,89,50,6.06
120,Saskylakh,RU,2022-04-20 22:49:26,71.9167,114.0833,5.29,96,100,3.8
121,Irbil,IQ,2022-04-20 22:53:21,36.1926,44.0106,58.82,47,0,4.61
122,Bilma,NE,2022-04-20 22:53:22,18.6853,12.9164,82.63,10,1,5.91
123,Comodoro Rivadavia,AR,2022-04-20 22:53:22,-45.8667,-67.5,60.66,36,0,17.27
124,Hlatikulu,SZ,2022-04-20 22:53:23,-26.9667,31.3167,47.89,93,78,2.95
125,Oranjestad,AW,2022-04-20 22:53:23,12.524,-70.027,82.35,74,20,16.11
126,Pangody,RU,2022-04-20 22:53:23,65.85,74.4859,7.32,92,100,19.82
127,Ovre Ardal,NO,2022-04-20 22:53:24,61.3167,7.8,37.08,81,12,5.06
128,Faanui,PF,2022-04-20 22:53:06,-16.4833,-151.75,81.03,69,31,6.78
